[ 2025-08-31 03:44:46,558 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-31 03:44:59,332 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-31 03:44:59,332 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-31 03:44:59,332 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-31 03:44:59,364 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-31 03:44:59,364 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-31 03:44:59,380 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-31 03:44:59,439 ] 32 root - INFO - Required number of columns:2
[ 2025-08-31 03:44:59,439 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-31 03:44:59,440 ] 32 root - INFO - Required number of columns:2
[ 2025-08-31 03:44:59,440 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-31 03:44:59,590 ] 28 root - INFO - data Validation Completed
[ 2025-08-31 03:44:59,590 ] 31 root - INFO - data Transformation started
[ 2025-08-31 03:44:59,590 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-31 03:44:59,590 ] 65 root - INFO - Starting data transformation
[ 2025-08-31 03:44:59,606 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-08-31 03:44:59,606 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-31 03:44:59,619 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-31 03:44:59,619 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-31 03:44:59,619 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-31 03:44:59,619 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-31 03:44:59,619 ] 35 root - INFO - data Transformation completed
[ 2025-08-31 03:44:59,619 ] 37 root - INFO - Model Training stared
[ 2025-08-31 03:47:44,822 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-31 03:47:44,822 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-31 03:47:44,822 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-31 03:47:44,841 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-31 03:47:44,842 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_31_2025_03_44_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991556091676719, precision_score=0.9889713254461601, recall_score=0.9941544043539609), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9705760464152507, precision_score=0.9622021364009861, recall_score=0.9790969899665551))
[ 2025-08-31 03:47:44,842 ] 42 root - INFO - Model Training artifact created
